shopId,productId,productName,category,price,discount,stockAvailability,subCategory,quantity
17,170,T-Shirt,clothing,875.0,10,50,Men's Clothing,1 piece
17,171,Shirt,clothing,1450.0,10,50,Men's Clothing,1 piece
17,172,Jeans,clothing,1900.0,10,50,Men's Clothing,1 pair
17,173,Trousers,clothing,1550.0,10,50,Men's Clothing,1 pair
17,174,Shorts,clothing,950.0,10,50,Men's Clothing,1 pair
17,175,Blazer,clothing,6000.0,10,50,Men's Clothing,1 piece
17,176,Suit,clothing,14000.0,10,50,Men's Clothing,1 set
17,177,Kurta,clothing,2300.0,10,50,Men's Clothing,1 piece
17,178,Sherwani,clothing,27500.0,10,50,Men's Clothing,1 piece
17,179,Hoodie,clothing,1850.0,10,50,Men's Clothing,1 piece
17,1710,Sweater,clothing,1500.0,10,50,Men's Clothing,1 piece
17,1711,Jacket,clothing,4600.0,10,50,Men's Clothing,1 piece
17,1712,Innerwear,clothing,475.0,10,50,Men's Clothing,1 piece
17,1713,Socks,clothing,300.0,10,50,Men's Clothing,1 pair
17,1714,Cap,clothing,850.0,10,50,Men's Clothing,1 piece
17,1715,T-Shirt,clothing,1150.0,10,50,Women's Clothing,1 piece
17,1716,Shirt,clothing,1450.0,10,50,Women's Clothing,1 piece
17,1717,Jeans,clothing,2150.0,10,50,Women's Clothing,1 pair
17,1718,Leggings,clothing,900.0,10,50,Women's Clothing,1 pair
17,1719,Trousers,clothing,1550.0,10,50,Women's Clothing,1 pair
17,1720,Kurti,clothing,1750.0,10,50,Women's Clothing,1 piece
17,1721,Saree,clothing,25500.0,10,50,Women's Clothing,1 piece
17,1722,Lehenga,clothing,1250.0,10,50,Women's Clothing,1 set
17,1723,Salwar Suit,clothing,5400.0,10,50,Women's Clothing,1 set
17,1724,Hoodie,clothing,2150.0,10,50,Women's Clothing,1 piece
17,1725,Sweater,clothing,1750.0,10,50,Women's Clothing,1 piece
17,1726,Jacket,clothing,5750.0,10,50,Women's Clothing,1 piece
17,1727,Nightwear,clothing,2000.0,10,50,Women's Clothing,1 set
17,1728,Lingerie,clothing,2650.0,10,50,Women's Clothing,1 set
17,1729,Dupatta,clothing,1350.0,10,50,Women's Clothing,1 piece
17,1730,Scarf,clothing,1075.0,10,50,Women's Clothing,1 piece
17,1731,T-Shirt,clothing,700.0,10,50,Kid's Clothing,1 piece
